                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.2661,                  1.202,                 1.0013,                0.83579,                      1,                  0.995,                 0.7761,                0.83223,                 1.0595,                 1.0006,             0.00054701,             0.00054701,             0.00054701
                     87,                  1.466,                 1.8823,                0.80819,                0.83579,                      1,                  0.995,                 0.7761,                0.83223,                 1.0595,                 1.0006,             0.00054872,             0.00054872,             0.00054872
                     88,                0.92529,                 1.1784,                0.93708,                0.81485,                      1,                  0.995,                 0.8358,                0.84867,                 1.0166,                 1.0162,             0.00055032,             0.00055032,             0.00055032
                     89,                0.83126,                0.91653,                0.88157,                0.81485,                      1,                  0.995,                 0.8358,                0.84867,                 1.0166,                 1.0162,              0.0005518,              0.0005518,              0.0005518
                     90,                0.79621,                 0.9683,                  1.183,                0.81485,                      1,                  0.995,                 0.8358,                0.84867,                 1.0166,                 1.0162,             0.00055318,             0.00055318,             0.00055318
                     91,                0.77141,                0.98855,                0.87618,                0.81485,                      1,                  0.995,                 0.8358,                0.84867,                 1.0166,                 1.0162,             0.00055444,             0.00055444,             0.00055444
                     92,                 0.9662,                0.99839,                 1.0047,                0.71137,                      1,                  0.995,                  0.796,                 1.0371,                 1.1826,                 1.0588,              0.0005556,              0.0005556,              0.0005556
                     93,                0.91413,                 1.2332,                0.84529,                0.71137,                      1,                  0.995,                  0.796,                 1.0371,                 1.1826,                 1.0588,             0.00055665,             0.00055665,             0.00055665
                     94,                0.95128,                 1.0816,                 1.1323,                0.71137,                      1,                  0.995,                  0.796,                 1.0371,                 1.1826,                 1.0588,             0.00055758,             0.00055758,             0.00055758
                     95,                 0.7596,                0.97249,                0.91391,                0.71137,                      1,                  0.995,                  0.796,                 1.0371,                 1.1826,                 1.0588,             0.00055841,             0.00055841,             0.00055841
                     96,                0.81154,                 1.1866,                 1.0328,                0.69744,                      1,                  0.995,                 0.6766,                 1.2481,                 1.1339,                 1.0852,             0.00055912,             0.00055912,             0.00055912
                     97,                0.88308,                0.96204,                 1.0413,                0.69744,                      1,                  0.995,                 0.6766,                 1.2481,                 1.1339,                 1.0852,             0.00055973,             0.00055973,             0.00055973
                     98,                 1.0158,                 1.1335,                0.96851,                0.69744,                      1,                  0.995,                 0.6766,                 1.2481,                 1.1339,                 1.0852,             0.00056023,             0.00056023,             0.00056023
                     99,                 0.8294,                0.94969,                0.97739,                0.69744,                      1,                  0.995,                 0.6766,                 1.2481,                 1.1339,                 1.0852,             0.00056061,             0.00056061,             0.00056061
                    100,                0.83667,                 1.0858,                0.99273,                0.79859,                      1,                  0.995,                0.52735,                 1.5523,                 1.0555,                 1.1968,             0.00056089,             0.00056089,             0.00056089
